Authors,Authors_save,MCI_size,MCI_Mean,MCI_SD,MCI_Var,Control_size,Control_Mean,Control_SD,Control_VAR,MMSE_score,MoCA_score,Task_difficulty,NamingVsSemantic,Task
Dudas et al. 2006,2006. Dudas,24,9.5,5.5,126.5,29,15.0,5.0,25.0,26.4,,Effortfull,Naming,Name famous faces
Ahmed et al. 2008,2008. Ahmed,32,15.9,5.0,25.0,37,24.7,2.6,6.760000000000001,27.2,,Effortfull,Naming,Name famous buildings
Ahmed et al. 2008,2008. Ahmed,32,14.0,5.1,26.01,37,22.2,3.1,9.61,27.2,,Effortfull,Naming,Name famous faces
Brambati et al. 2012,2012. Brambati,13,1.09,6.2,38.440000000000005,13,6.67,6.04,36.4816,28.7,,Effortless,Semantics,Semantinc priming
Joubert et al. 2008,2008. Joubert,20,64.3,20.8,432.64,20,77.3,12.3,151.29000000000002,26.8,,Effortfull,Naming,Test of famous persons
Joubert et al. 2008,2008. Joubert,20,55.7,18.5,342.25,20,82.7,9.6,92.16,26.8,,Effortfull,Naming,Test of famous public events
Joubert et al. 2010,2010. Joubert,15,49.8,25.2,635.04,16,76.3,26.5,702.25,27.4,,Effortfull,Naming ,Test of famous persons
Joubert et al. 2010,2010. Joubert,15,75.7,9.7,94.09,16,86.5,8.7,75.68999999999998,27.4,,Effortless,Semantics,Test of famous persons
Gonzalez-Estévez et al. 2004,2004. Estévez,53,43.9,14.9,222.00999999999996,17,54.6,15.1,228.01,27.1,,Effortfull,Naming,Test of famous persons
Brunet et al. 2011,2011. Brunet,33,79.6,10.8,116.64,26,85.9,6.75,45.5625,,,Effortless,Semantics,Specific questions from name
Barbeau et al. 2012,2012. Barbeau,29,23.59,7.61,57.9121,29,34.34,4.24,17.977600000000002,27.2,,Effortfull,Naming,Naming famous faces
Barbeau et al. 2012,2012. Barbeau,29,32.83,5.6,31.359999999999996,29,37.65,2.91,8.468100000000002,27.2,,Effortfull,Semantics,Person Identification
Barbeau et al. 2012,2012. Barbeau,29,13.86,5.91,34.9281,29,22.48,4.29,18.4041,27.2,,Effortfull,Semantics,Person information
Barbeau et al. 2012,2012. Barbeau,29,11.96,4.75,22.5625,29,16.54,3.65,13.3225,27.2,,Effortfull,Semantics,DAQ
Barbeau et al. 2012,2012. Barbeau,29,8.39,4.84,23.4256,29,14.93,4.09,16.728099999999998,27.2,,Effortfull,Semantics,Short-eve FR
Barbeau et al. 2012,2012. Barbeau,29,8.64,1.7,2.8899999999999997,29,9.79,0.5,0.25,27.2,,Effortless,Semantics,Short-eve MCQ
Barbeau et al. 2012,2012. Barbeau,29,5.93,3.45,11.902500000000002,29,12.68,3.87,14.9769,27.2,,Effortfull,Semantics,Short-eve CQ
Barbeau et al. 2012,2012. Barbeau,29,3.71,1.54,2.3716,29,6.32,2.02,4.0804,27.2,,Effortfull,Semantics,Short-eve Dote
Barbeau et al. 2012,2012. Barbeau,29,13.86,5.91,34.9281,29,22.48,4.29,18.4041,27.2,,Effortfull,Semantics,WAIS-III Information
Leyhe et al. 2010,2010. Leyhe,20,74.75,23.78,565.4884000000001,20,95.25,8.67,75.1689,26.7,,Effortless,Semantics,Recognition of famous event
Leyhe et al. 2010,2010. Leyhe,20,5.04,2.59,6.708099999999999,20,7.29,1.91,3.6481,26.7,,Effortfull,Semantics,Dating famous event
Leyhe et al. 2010,2010. Leyhe,20,5.14,2.72,7.398400000000001,20,8.14,1.93,3.7249,26.7,,Effortfull,Semantics,Context about famous event
Vogel et al. 2005,2005. Vogel,31,13.19,4.23,17.892900000000004,58,18.09,2.334,5.4475560000000005,26.0,,Effortfull,Naming,Naming famous faces
Vogel et al. 2005,2005. Vogel,31,16.77,2.986,8.916196000000001,58,19.26,1.396,1.9488159999999997,26.0,,Effortless,Semantics,Person Identification
Pineault et al. 2018,2018. Pineault,14,71.0,7.4,54.760000000000005,14,79.0,10.2,104.04,,,Effortless,Semantics,Semantinc catagorization
