Author,CI95inf,d,CI95sup,Weight,Var,MCI_size,Control_size,MMSE_score,Color
Bizzozero et al. 2009,1.164597774943764,2.04824,2.931882225056236,4.919933374246503,0.20325478496,15,15,,orange
Clague et al. 2011,0.7217595890813919,1.59116625,2.460572910918608,5.116796221940137,0.1971967663338243,13,14,26.6,orange
Brambati et al. 2012,0.04565601466864599,0.84826,1.650863985331354,5.963613908226204,0.1676835582230769,13,13,28.7,orange
Smith NC et al. 2014,1.034147545473075,1.8187,2.603252454526925,6.241201034199258,0.1602255710912698,15,21,27.8,orange
Borg et al. 2010,0.44507852694869,1.2307675,2.01645647305131,6.279151854224043,0.1612054174604167,15,15,26.8,orange
Pineault et al. 2018,0.06715461881906704,0.83994,1.612725381180933,6.432715538798996,0.1554553429214286,14,14,,orange
Rodriguez-Ferreiro et al. 2012,-0.2029411032867763,0.5669850000000001,1.336911103286776,6.480594187852462,0.1543072042673891,14,13,26.0,orange
Joubert et al. 2010,0.2851013684886098,1.03537,1.78563863151139,6.825956822057149,0.1465378308037635,15,16,27.4,orange
Joubert et al. 2008,0.5540753549965649,1.23848,1.922884645003435,8.30594010766085,0.12244548624125,20,20,26.8,orange
Smith JC et al. 2013,-0.1135540287385763,0.56328,1.240114028738576,8.388669425707537,0.1192616079444631,17,18,,orange
Benoit et al. 2017,0.3165984148701107,0.981525,1.646451585129889,8.691802933818556,0.1151021994762146,20,19,27.7,orange
Leyhe et al. 2010,0.4204791327006578,1.084686666666667,1.748894200632676,8.712141800762975,0.1148600009958333,20,20,26.7,orange
Langlois et al. 2016,0.02105023301624845,0.667245,1.313439766983752,9.205802319136147,0.1087197121095479,20,19,,orange
Woodard et al. 2009,-0.3487336584228171,0.29052,0.9297736584228171,9.400819159950998,0.1063737088210526,19,19,,orange
Gardini et al. 2015,-0.4313109781511154,0.19527,0.8218509781511154,9.814410545923698,0.1023030791803572,21,21,27.0,orange
Seidenberg et al. 2009,-0.06584104860157984,0.526615,1.11907104860158,10.9637045833046,0.09142400931576088,23,23,27.91,orange
Ahmed et al. 2008,1.526478246109479,2.117255,2.708031753890522,11.02536794870915,0.0909027758534763,32,37,27.2,orange
Barbeau et al. 2012,0.8557110409760109,1.4352,2.014688959023989,11.50464194125721,0.08757537769980843,29,29,27.2,orange
Dudas et al. 2006,0.4746304153582559,1.05134,1.628049584641744,11.55042073840551,0.0865769327930167,24,29,26.4,orange
Gonzalez-Estévez et al. 2004,0.1568143333368077,0.71585,1.274885666663192,12.29229881144147,0.08135174838649516,53,17,27.1,orange
Brunet et al. 2011,0.1529957938303992,0.68147,1.209944206169601,13.75512535404028,0.0727001735179586,33,26,,orange
Vogel et al. 2005,0.9002456577735499,1.38191,1.86357434222645,16.58769691911473,0.06042700439388959,31,58,26.0,orange
