Author,CI95inf,d,CI95sup,Weight,Var,MCI_size,Control_size,MMSE_score,Task_difficulty,NamingVsSemantic
Dudas et al. 2006,0.4746304153582559,1.05134,1.628049584641744,11.55042073840551,0.0865769327930167,24,29,26.4,Effortfull,Naming
Ahmed et al. 2008,1.652461484712981,2.2572,2.86193851528702,10.50453624832096,0.09519696789659224,32,37,27.2,Effortfull,Naming
Ahmed et al. 2008,1.400495007505977,1.97731,2.554124992494023,11.54619964909734,0.08660858381036035,32,37,27.2,Effortfull,Naming
Brambati et al. 2012,0.04565601466864599,0.84826,1.650863985331354,5.963613908226204,0.1676835582230769,13,13,28.7,Effortless,Semantics
Joubert et al. 2008,0.08686726950896462,0.72681,1.366752730491035,9.380584992062616,0.10660315970125,20,20,26.8,Effortfull,Naming
Joubert et al. 2008,1.021283440484165,1.75015,2.479016559515835,7.231295223259085,0.13828781278125,20,20,26.8,Effortfull,Naming
Joubert et al. 2010,0.2203003606295068,0.96451,1.708719639370493,6.936199260208671,0.144171175377957,15,16,27.4,Effortfull,Naming 
Joubert et al. 2010,0.3499023763477128,1.10623,1.862557623652287,6.715714383905627,0.1489044862295699,15,16,27.4,Effortless,Semantics
Gonzalez-Estévez et al. 2004,0.1568143333368077,0.71585,1.274885666663192,12.29229881144147,0.08135174838649516,53,17,27.1,Effortfull,Naming
Brunet et al. 2011,0.1529957938303992,0.68147,1.209944206169601,13.75512535404028,0.0727001735179586,33,26,,Effortless,Semantics
Barbeau et al. 2012,1.140337552553259,1.74515,2.349962447446741,10.50196826021865,0.09522024588362069,29,29,27.2,Effortfull,Naming
Barbeau et al. 2012,0.5291347279263972,1.08011,1.631085272073603,12.65458556438181,0.07902273803534482,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,1.07159293275759,1.66927,2.26694706724241,10.75422102445824,0.09298674424913793,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,0.5301913328936444,1.08124,1.632288667106355,12.65121482083653,0.07904379256551725,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,0.880374150454902,1.45959,2.038805849545098,11.45067973754615,0.08733106006982758,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,0.3766581832529703,0.9178,1.45894181674703,13.1186743646505,0.07622721413793103,29,29,27.2,Effortless,Semantics
Barbeau et al. 2012,1.227056070699244,1.84123,2.455403929300756,10.18425788428794,0.09819075786982759,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,0.8744614854885006,1.45314,2.0318185145115,11.47195479047686,0.08716910223793103,29,29,27.2,Effortfull,Semantics
Barbeau et al. 2012,1.07159293275759,1.66927,2.26694706724241,10.75422102445824,0.09298674424913793,29,29,27.2,Effortfull,Semantics
Leyhe et al. 2010,0.4296485727242195,1.09422,1.758791427275781,8.698188444266934,0.114966467605,20,20,26.7,Effortless,Semantics
Leyhe et al. 2010,0.2911331476568924,0.94459,1.598046852343108,8.996597890074177,0.11115312835125,20,20,26.7,Effortfull,Semantics
Leyhe et al. 2010,0.5406556777208616,1.21525,1.889844322279138,8.441639067947815,0.11846040703125,20,20,26.7,Effortfull,Semantics
Vogel et al. 2005,1.076820551290668,1.57014,2.063459448709332,15.7854027762628,0.06334966640849633,31,58,26.0,Effortfull,Naming
Vogel et al. 2005,0.723670764256432,1.19368,1.663689235743568,17.38999106196667,0.05750434237928285,31,58,26.0,Effortless,Semantics
Pineault et al. 2018,0.06715461881906704,0.83994,1.612725381180933,6.432715538798996,0.1554553429214286,14,14,,Effortless,Semantics
Benoit et al. 2017,0.4061058728980319,1.07805,1.749994127101968,8.508359226958389,0.1175314738512146,20,19,27.7,Effortless,Naming
Benoit et al. 2017,0.2270909568421895,0.885,1.542909043157811,8.875246640678723,0.1126729251012146,20,19,27.7,Effortfull,Semantics
Bizzozero et al. 2009,1.164597774943764,2.04824,2.931882225056236,4.919933374246503,0.20325478496,15,15,,Effortfull,Semantics
Clague et al. 2011,1.158776813622715,2.09857,3.038363186377286,4.349582360100004,0.2299071306646113,13,14,26.6,Effortfull,Naming
Clague et al. 2011,0.199509002635877,1.00018,1.800850997364123,5.992443499857102,0.1668768341368335,13,14,26.6,Effortfull,Naming
Clague et al. 2011,0.9007021089918293,1.79458,2.688457891008171,4.807903600592029,0.2079908590257224,13,14,26.6,Effortfull,Semantics
Clague et al. 2011,0.756862307089146,1.62772,2.498577692910854,5.065446787550909,0.1974159520257224,13,14,26.6,Effortless,Semantics
Clague et al. 2011,0.7584228631998141,1.62952,2.500617136800186,5.062662428536433,0.1975245266923891,13,14,26.6,Effortless,Semantics
Clague et al. 2011,0.9255792129131537,1.82363,2.721680787086846,4.763326456120986,0.2099373219979447,13,14,26.6,Effortless,Semantics
